candidate_id,mp_name,party,n_holdings,total_declared_cr,kind,sample_holdings
5106,DR CHANDRA SEKHAR PEMMASANI,TDP,36,5350.8238,foreign_holdings,"JPM chase Investment Joint with spouse 50% | RxPrep Inc, USA | Themis Bar Review LLC USA"
5118,PRABHAKAR REDDY VEMIREDDY,TDP,11,356.4397,private_company_shares,"NDR Invit Trust-30479005 share | Investment in other shares 45516 shares | VPR Mining Infrastructure Pvt. Ltd, Hyderabad-2820"
2651,H.D. KUMARASWAMY,Janata Dal (Secular),4,68.7357,private_company_shares,Janatha Seva Co-op Bank - 30 Shares | Janatha Seva Co-op Bank 30 Shares | Kasthuri Medias Pvt Ltd (6872560 Shares)
3393,DR. PRABHA MALLIKARJUN,INC,7,57.1308,private_company_shares,Shares in BCCB | Shares in PKCSS | Shares in DSCL
6657,BALASHOWRY VALLABHANENI,Janasena Party,12,54.0949,private_company_shares,"Anudeep Carbonates (P) Ltd., Bhadravathi | Balabhanu Enterprises (P) Ltd, Hyderabad | Kinteta Global Ltd, Hyderabad"
5105,PUTTA MAHESH KUMAR,TDP,2,45.574,bonds_debentures,Investment In Soverign Gold Bond | Investment In Market Share
8951,HARSIMRAT KAUR BADAL,SAD,3,38.2625,aggregate_shares_unspecified,(unspecified shares - aggregate) | (unspecified shares - aggregate) | (unspecified shares - aggregate)
3797,RAMESH JIGAJINAGI,BJP,7,20.1617,private_company_shares,Hampi Haritage Vineyard | Jiginigi Jagathapa Solar Power Pvt ltd | Jiginigi Jagathapa Solar Energy Pvt Ltd
5241,DR.MALLU RAVI,INC,5,18.6869,private_company_shares,Share in M/s Rahul Agencies having Capital | Share inM/s Cardamom Estates LLP | Share in M/s Aldora Estates LLP
5294,KUNDURU RAGHUVEER,INC,9,16.0675,private_company_shares,Equity Shares Astha Green Energy Ventures India Pv | Equity Shares Aarathi Energy Ventures Pvt Ltd 2610 | Equity Shares Accelerate Automotives Pvt Ltd 15000
5123,P V MIDHUN REDDY,YSRCP,7,14.1188,unmatched_equity_or_generic,Share in Shiva Shakti Dairy | PLR Project Private Limited | Ananda Nilayam hotels Private Limited
533,S JAGATHRATCHAKAN,DMK,12,12.7747,unmatched_equity_or_generic,Teyro Labs Private Ltd | Chiprime Semiconductor Private Ltd | Jasan Infra Private Limited
7090,SURESH GOPINATH MHATRE ALIAS BALYA MAMA,Nationalist Congress Party – Sharadchandra Pawar,16,12.3355,private_company_shares,G P Parsik No 1xxxxx Shares | Sumit Kumar Logistic And Hub Pvt Ltd 50% | Sumit Mhatre Infrastructure Pvt Ltd
283,MALA RAJYA LAKSHMI SHAH,BJP,3,10.8763,unmatched_equity_or_generic,Investing In Mutual fund | (1)Investing In Mutual Fund | (2)Investing In Shares
2512,DR. MAHESH SHARMA,BJP,10,9.5985,private_company_shares,Share Kailash Health Care L | Share Kailash Hospitals L | shatre Citision Co-operative Bank
4005,B.Y.RAGHAVENDRA,BJP,27,9.1813,private_company_shares,Davalagiri Property Developers Pvt Ltd | Sahyadri Healthcare & Diagnostics Pvt Ltd | Sri Matangeswara Puttina sahakara sangha
2797,HEMAMALINI DHARMENDRA DEOL,BJP,2,7.1308,aggregate_shares_unspecified,(unspecified shares - aggregate) | (unspecified shares - aggregate)
