candidate_id,mp_name,party,constituency,owner,category,raw_description,declared_value_inr,weight_grams,carats,weight_estimated
1,DR. RAJESH MISHRA,BJP,SIDHI,self,gold,Gold Jwellery 200gm,1400000,200.0,,False
1,DR. RAJESH MISHRA,BJP,SIDHI,spouse,gold,Gold Jewellery,61620,8.449,,True
1,DR. RAJESH MISHRA,BJP,SIDHI,huf,gold,Gold Jwelery 430GM,3000000,430.0,,False
1,DR. RAJESH MISHRA,BJP,SIDHI,huf,mixed,Silver jwellery 2 kg,160000,2000.0,,False
100,SUMATHY T,DMK,CHENNAI SOUTH,self,gold,Gold 1270 gram,6985000,1270.0,,False
100,SUMATHY T,DMK,CHENNAI SOUTH,self,silver,Silver 1.5 Kilo,105000,1500.0,,False
100,SUMATHY T,DMK,CHENNAI SOUTH,spouse,gold,Gold jewel 120 grams,660000,120.0,,False
100,SUMATHY T,DMK,CHENNAI SOUTH,dep1,gold,Gold 1247 grams,6858500,1247.0,,False
100,SUMATHY T,DMK,CHENNAI SOUTH,dep1,silver,Silver 9.75 Kilo,682500,9750.0,,False
1043,DAYANIDHI MARAN,DMK,CHENNAI CENTRAL,self,gold,Gold Jewellery 42 Grams and other valuable Things as 19-03-2024,1057670,42.0,,False
1043,DAYANIDHI MARAN,DMK,CHENNAI CENTRAL,spouse,mixed,Gold Jewellery 2502 Grams Silver 18KGS and other valuable Things as 19-03-2024,27968412,20502.0,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,self,gold,Gold Ornaments 407950 gms @Rs 6000/-per gram,2451780,407950.0,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,self,diamond,Diamond 48.35 Ct,2175750,,48.35,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,self,unspecified,Platinum 34.860 grms,113835,,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,self,silver,Silver 6870.000 gms,549600,6870.0,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,spouse,gold,Gold Ornaments 2985.96 gms @Rs 6000/-per gram,17915760,2985.96,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,spouse,diamond,Diamond 69.16 Ct,3112200,,69.16,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,spouse,silver,Silver 24000.000 gms,1920000,24000.0,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,dep1,gold,Gold Ornaments 149.950 gms @Rs 6000/-per gram,899700,149.95,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,dep1,diamond,Diamond 1.47 Ct,95550,,1.47,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,dep1,gold,Platinum 8386 gms,20378,8386.0,,False
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,dep1,silver,Silver 1802.000,144160,1493.886,,True
1120,BALWANT BASWANT WANKHADE,INC,AMRAVATI (SC),self,gold,25 Grams Gold,,25.0,,False
1120,BALWANT BASWANT WANKHADE,INC,AMRAVATI (SC),spouse,gold,50 Grams Gold,,50.0,,False
1120,BALWANT BASWANT WANKHADE,INC,AMRAVATI (SC),dep1,gold,20 Grams Gold,,20.0,,False
1155,C N ANNADURAI,DMK,TIRUVANNAMALAI,self,gold,53 grams of Gold jewels,310000,53.0,,False
1155,C N ANNADURAI,DMK,TIRUVANNAMALAI,spouse,gold,842 gram of gold jewels,4210000,842.0,,False
1155,C N ANNADURAI,DMK,TIRUVANNAMALAI,spouse,silver,Silver Vessels,325000,3367.876,,True
1155,C N ANNADURAI,DMK,TIRUVANNAMALAI,huf,gold,515 grams of Gold jewels,2575000,515.0,,False
1156,BIPLAB KUMAR DEB,BJP,TRIPURA WEST,self,gold,Gold 50gm,300000,50.0,,False
1156,BIPLAB KUMAR DEB,BJP,TRIPURA WEST,spouse,gold,Gold150gm,900000,150.0,,False
1156,BIPLAB KUMAR DEB,BJP,TRIPURA WEST,dep1,gold,Gold 100gm,600000,100.0,,False
1156,BIPLAB KUMAR DEB,BJP,TRIPURA WEST,dep2,gold,Gold 30gm,180000,30.0,,False
1156,BIPLAB KUMAR DEB,BJP,TRIPURA WEST,dep3,gold,Gold 80gm,480000,80.0,,False
1167,RAJA A,DMK,NILGIRIS (SC),self,gold,Gold Momento engraved with recitals 108 soverigns,5263488,721.718,,True
1167,RAJA A,DMK,NILGIRIS (SC),self,silver,Silver 4.182kgs,334978,4182.0,,False
1167,RAJA A,DMK,NILGIRIS (SC),dep1,gold,Gold 397 Soverign,19348972,2653.088,,True
1167,RAJA A,DMK,NILGIRIS (SC),dep1,silver,Silver 10kgs,801000,10000.0,,False
1167,RAJA A,DMK,NILGIRIS (SC),dep1,diamond,"Diamond, Stud, Necklace",1200000,,,False
121,MANI. A.,DMK,DHARMAPURI,self,gold,Gold 160 gm,800000,160.0,,False
121,MANI. A.,DMK,DHARMAPURI,spouse,gold,Gold 950 gm,4750000,950.0,,False
121,MANI. A.,DMK,DHARMAPURI,dep1,gold,Gold 46 gm,230000,46.0,,False
1225,THANGA TAMILSELVAN,DMK,THENI,self,gold,200 Grams,800000,200.0,,False
1225,THANGA TAMILSELVAN,DMK,THENI,spouse,gold,250 Grams,1000000,250.0,,False
1225,THANGA TAMILSELVAN,DMK,THENI,dep1,gold,20 Gram,80000,20.0,,False
1264,JOTHIMANI. S,INC,KARUR,self,gold,240 gm gold,600000,240.0,,False
127,K E PRAKASH,DMK,ERODE,self,gold,Gold jewels of 160 grams,960000,160.0,,False
127,K E PRAKASH,DMK,ERODE,spouse,gold,Gold jewels of 1728 gram,10368000,1728.0,,False
127,K E PRAKASH,DMK,ERODE,dep1,gold,Gold of 80 gram,480000,80.0,,False
127,K E PRAKASH,DMK,ERODE,dep2,gold,Gold of 150 gram,900000,150.0,,False
13,MANOJ TIGGA,BJP,ALIPURDUARS (ST),self,gold,30g Gold,175000,23.996,,True
13,MANOJ TIGGA,BJP,ALIPURDUARS (ST),spouse,gold,40g Gold,230000,31.537,,True
13,MANOJ TIGGA,BJP,ALIPURDUARS (ST),dep1,gold,20g Gold,115000,15.769,,True
133,MALAIYARASAN D,DMK,KALLAKURICHI,self,unspecified,10 savaran,400000,,,False
133,MALAIYARASAN D,DMK,KALLAKURICHI,spouse,unspecified,20 savaran,800000,,,False
134,SELVAM. G,DMK,KANCHEEPURAM (SC),self,gold,400 Grams of Gold,2000000,400.0,,False
134,SELVAM. G,DMK,KANCHEEPURAM (SC),spouse,gold,900 Grams of gold,4500000,900.0,,False
134,SELVAM. G,DMK,KANCHEEPURAM (SC),dep1,gold,200 grams of gold,1000000,200.0,,False
134,SELVAM. G,DMK,KANCHEEPURAM (SC),dep2,gold,200 grams of gold,1000000,200.0,,False
134,SELVAM. G,DMK,KANCHEEPURAM (SC),dep3,gold,100 grams of gold,500000,100.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,self,gold,Gold - 40 Gram,200000,40.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,spouse,gold,Gold- 1040 Gram,5200000,1040.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,spouse,silver,Silver- 15 KG,1200000,15000.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,dep1,gold,Gold- 40 Gram,200000,40.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,dep2,gold,Gold- 400 Gram,2000000,400.0,,False
1352,GANAPATHY RAJKUMAR P,DMK,COIMBATORE,dep3,gold,Gold- 560 Gram,2800000,560.0,,False
1440,DR RANI SRI KUMAR,DMK,TENKASI (SC),self,gold,600 Grams of Gold worth,3711000,600.0,,False
1451,MURASOLI S,DMK,THANJAVUR,self,gold,42 Sovereign Gold Ornaments,2100000,287.947,,True
1451,MURASOLI S,DMK,THANJAVUR,spouse,gold,110 Sovereign Gold Ornaments,5500000,754.148,,True
1451,MURASOLI S,DMK,THANJAVUR,spouse,silver,Silver 3kg 335grams,233450,3335.0,,False
1451,MURASOLI S,DMK,THANJAVUR,dep1,gold,3 Sovereign Gold Ornaments,1200000,164.541,,True
1464,SASIKANTH SENTHIL,INC,TIRUVALLUR (SC),spouse,gold,GOLD -250 Grams,1600000,250.0,,False
1480,ROBERT BRUCE C,INC,TIRUNELVELI,self,gold,96 Gram,617200,96.0,,False
1480,ROBERT BRUCE C,INC,TIRUNELVELI,spouse,gold,822 Grams,5285000,822.0,,False
1480,ROBERT BRUCE C,INC,TIRUNELVELI,dep1,gold,198 Grams,1273000,198.0,,False
1575,SUDHA R,INC,MAYILADUTHURAI,self,gold,Gold 480gms,2700000,480.0,,False
16,ARUN NEHRU,DMK,PERAMBALUR,self,gold,Gold 480 Grms,2400000,329.083,,True
16,ARUN NEHRU,DMK,PERAMBALUR,spouse,gold,Gold 480 Grms,2400000,329.083,,True
164,MATHESWARAN V S,DMK,NAMAKKAL,self,gold,180g Gold,900000,123.406,,True
164,MATHESWARAN V S,DMK,NAMAKKAL,spouse,gold,350g Gold,1750000,239.956,,True
1678,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),GAYA (SC),spouse,gold,Gold 150 Gram,378000,150.0,,False
1678,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),GAYA (SC),spouse,silver,Silver 1000 Gram,76500,1000.0,,False
1681,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),JAMUI (SC),self,gold,Gold 400Gm,2460000,400.0,,False
1681,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),JAMUI (SC),spouse,gold,Gold 1700Gm,10455000,1700.0,,False
1681,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),JAMUI (SC),spouse,silver,Silver 1500gm,115500,1500.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,self,gold,Gold 90 gm,535600,90.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,self,diamond,Diamond Ring,125000,,,False
1695,VIVEK THAKUR,BJP,NAWADA,self,silver,Silver 1500gms,107370,1500.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,spouse,gold,Gold 450gm,2678040,450.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,spouse,diamond,Diamond Ring,300000,,,False
1695,VIVEK THAKUR,BJP,NAWADA,spouse,silver,Silver 1200gm,86220,1200.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,dep1,gold,Gold 63gm,350000,63.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,dep1,silver,Silver 450gms,32000,450.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,dep2,gold,Gold 62 gm,340000,62.0,,False
1695,VIVEK THAKUR,BJP,NAWADA,dep2,silver,Silver 450gm,32000,450.0,,False
1702,ABHAY KUMAR SINHA,RJD,AURANGABAD,self,gold,150 Gram Gold,930000,150.0,,False
1702,ABHAY KUMAR SINHA,RJD,AURANGABAD,spouse,gold,330 Gram Gold,2046000,330.0,,False
1702,ABHAY KUMAR SINHA,RJD,AURANGABAD,spouse,silver,Silver,45900,475.648,,True
1712,JUGAL KISHORE,BJP,JAMMU,self,gold,Gold 20 Tola,1200000,164.541,,True
1712,JUGAL KISHORE,BJP,JAMMU,spouse,gold,Gold 50 Tola,3000000,411.353,,True
1712,JUGAL KISHORE,BJP,JAMMU,dep1,gold,Gold 5 Tola,300000,41.135,,True
174,ESWARASAMY K,DMK,POLLACHI,self,gold,400 Grams Gold Jewels,2500000,400.0,,False
174,ESWARASAMY K,DMK,POLLACHI,spouse,gold,1400 Grams Gold Jewels,8750000,1400.0,,False
174,ESWARASAMY K,DMK,POLLACHI,spouse,silver,Silver Articles 6520 Grams,506250,6520.0,,False
176,SELVAGANAPATHI T M,DMK,SALEM,self,unspecified,25 sovereign,1250000,,,False
176,SELVAGANAPATHI T M,DMK,SALEM,spouse,mixed,"jewellery weight GOLD 529.40gms Silver 3157.65gms Platinum 3.46gms Stones 0.47, CTS Emerald 89.37gms Diamond 26.58 CTS",5596196,3779.88,26.58,False
1771,RAJ KUMAR ROAT,Bharat Adivasi Party,BANSWARA (ST),self,gold,Gold 30 Gm,150000,30.0,,False
1771,RAJ KUMAR ROAT,Bharat Adivasi Party,BANSWARA (ST),spouse,mixed,Gold 70 Gm Silver 600 Gm,398000,670.0,,False
1801,KARTICK CHANDRA PAUL,BJP,RAIGANJ,self,gold,Gold Jwellary 100 Gram,570000,100.0,,False
1801,KARTICK CHANDRA PAUL,BJP,RAIGANJ,spouse,gold,Gold Jewellary 500 Gram,2600000,500.0,,False
1801,KARTICK CHANDRA PAUL,BJP,RAIGANJ,spouse,gemstone,"Other Jwelley Gems,",350000,,,False
1801,KARTICK CHANDRA PAUL,BJP,RAIGANJ,dep1,gold,Gold Jjwellary 25 Gram,120000,25.0,,False
1806,SATISH KUMAR GAUTAM,BJP,ALIGARH,self,gold,130 gm jewellery,822640,130.0,,False
1806,SATISH KUMAR GAUTAM,BJP,ALIGARH,spouse,gold,460 gm jewellery,2910880,460.0,,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,self,gold,Gold 40 grams,244600,40.0,,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,self,diamond,Diamond 3 carats,100500,,3.0,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,self,unspecified,Jewelley,816000,,,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,spouse,gold,Gold 1727.846 grams,5386974,1727.846,,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,spouse,diamond,Diamond 40.738 carats,1183689,,40.738,False
181,KARTI P CHIDAMBARAM,INC,SIVAGANGA,spouse,silver,Silver 28.721 kgs,2306296,28721.0,,False
1830,DURGADAS (D. D.) UIKEY,BJP,BETUL (ST),self,gold,1 Tola Gold,62000,8.501,,True
1830,DURGADAS (D. D.) UIKEY,BJP,BETUL (ST),spouse,gold,10 Tola Gold,620000,85.013,,True
1831,RAHUL SINGH LODHI,BJP,DAMOH,self,gold,Gold 10 Tola,650000,89.127,,True
1831,RAHUL SINGH LODHI,BJP,DAMOH,self,unspecified,1 Revolver,99840,,,False
1831,RAHUL SINGH LODHI,BJP,DAMOH,spouse,mixed,Gold 40 Tola Silver 8kg,3160000,8000.0,,False
1833,DARSHAN SINGH CHOUDHARY,BJP,HOSHANGABAD,self,gold,20 Gms Gold,40000,20.0,,False
1833,DARSHAN SINGH CHOUDHARY,BJP,HOSHANGABAD,self,silver,200 Gms Silver,13500,200.0,,False
1836,GANESH SINGH,BJP,SATNA,self,gold,Gold 295 gm,2065000,295.0,,False
1836,GANESH SINGH,BJP,SATNA,spouse,gold,Gold 620 gm,4340000,620.0,,False
184,T R BAALU,DMK,SRIPERUMBUDUR,self,gold,100 grams,575000,100.0,,False
