candidate_id,mp_name,party,constituency,total_declared_value_inr,total_declared_value_cr,gold_n_entries,gold_value_inr,gold_weight_g,silver_n_entries,silver_value_inr,silver_weight_g,diamond_n_entries,diamond_value_inr,diamond_weight_g,gemstone_n_entries,gemstone_value_inr,gemstone_weight_g,mixed_n_entries,mixed_value_inr,mixed_weight_g,unspecified_n_entries,unspecified_value_inr,unspecified_weight_g
8542,NAVEEN JINDAL,BJP,KURUKSHETRA,434824000,43.4824,3,431544000,22103.334,1,3280000,54660.0,0,0,0,0,0,0,0,0,0,0,0,0
5226,KONDA VISHWESHWAR REDDY,BJP,CHEVELLA,110055576,11.0056,0,0,0,0,0,0,0,0,0,0,0,0,2,110055576,862.0,0,0,0
5130,SRIBHARAT MATHUKUMILI,TDP,VISAKHAPATNAM,102429152,10.2429,3,76202333,12435.12,2,8762373,104300.0,1,17464446,0,0,0,0,0,0,0,0,0,0
5268,C.M.RAMESH,BJP,ANAKAPALLE,91610941,9.1611,2,91610941,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8764,KANGNA RANAUT,BJP,MANDI,85000000,8.5,1,50000000,6700.0,1,5000000,60000.0,1,30000000,0,0,0,0,0,0,0,0,0,0
7093,PIYUSH GOYAL,BJP,MUMBAI NORTH,78068666,7.8069,0,0,0,0,0,0,0,0,0,0,0,0,3,78068666,34079.42,0,0,0
8951,HARSIMRAT KAUR BADAL,SAD,BATHINDA,70340068,7.034,0,0,0,0,0,0,0,0,0,0,0,0,1,70340068,0,0,0,0
3847,CHHATRAPATI SHAHU SHAHAJI,INC,KOLHAPUR,62519000,6.2519,3,55309000,9043.71,2,7210000,102700.0,0,0,0,0,0,0,0,0,0,0,0,0
5028,POONAMBEN HEMATBHAI MAADAM,BJP,JAMNAGAR,58866405,5.8866,3,48961801,7287.37,2,2837078,29399.772,2,7067526,0,0,0,0,0,0,0,0,0,0
4316,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,BARAMATI,55593965,5.5594,2,21497873,4123.32,2,2215518,40450.1,2,31880574,0,0,0,0,0,0,0,0,0,0
7176,ANURAG SHARMA,BJP,JHANSI,53241114,5.3241,2,48558145,9416.66,2,4682969,72830.0,0,0,0,0,0,0,0,0,0,0,0,0
2597,DR C N MANJUNATH,BJP,BANGALORE RURAL,52551805,5.2552,3,42441164,6609.0,1,3003000,38500.0,1,2550000,0,1,4557641,340.0,0,0,0,0,0,0
8022,BHARTRUHARI MAHTAB,BJP,CUTTACK,48118752,4.8119,2,47612400,7214.0,2,506352,6028.0,0,0,0,0,0,0,0,0,0,0,0,0
1900,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,BJP,MYSORE,46600000,4.66,5,43800000,6600.0,3,2800000,40000.0,0,0,0,0,0,0,0,0,0,0,0,0
2013,DUSHYANT SINGH,BJP,JHALAWAR-BARAN,46517424,4.6517,2,42182424,6444.0,0,0,0,0,0,0,0,0,0,2,4235000,55000.0,1,100000,0
5139,C R PATIL,BJP,NAVSARI,36697311,3.6697,4,29420870,4756.28,2,2783868,43320.0,0,0,0,1,89345,133.25,3,4403228,22347.7,0,0,0
2651,H.D. KUMARASWAMY,Janata Dal (Secular),MANDYA,34723471,3.4723,2,28882821,4602.84,2,2271500,29500.0,2,3569150,0,0,0,0,0,0,0,0,0,0
8497,DEEPENDER SINGH HOODA,INC,ROHTAK,33830427,3.383,2,33753027,2375.53,1,77400,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
3579,BASAVARAJ BOMMAI,BJP,HAVERI,31435918,3.1436,4,25648100,4181.0,3,3687818,49750.0,0,0,0,0,0,0,0,0,0,1,2100000,0
1081,DR.KALANIDHI VEERASWAMY,DMK,CHENNAI NORTH,29398713,2.9399,4,21287618,419471.91,3,2613760,32363.886,3,5383500,0,0,0,0,0,0,0,1,113835,0
1043,DAYANIDHI MARAN,DMK,CHENNAI CENTRAL,29026082,2.9026,1,1057670,42.0,0,0,0,0,0,0,0,0,0,1,27968412,20502.0,0,0,0
234,K NAVASKANI,Indian Union Muslim League,RAMANATHAPURAM,28233270,2.8233,3,28233270,4602.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5179,SHATRUGHAN PRASAD SINHA,AITC,ASANSOL,27130796,2.7131,0,0,0,0,0,0,0,0,0,2,12103775,0,2,15027021,2896.0,0,0,0
1167,RAJA A,DMK,NILGIRIS (SC),26948438,2.6948,2,24612460,3374.806,2,1135978,14182.0,1,1200000,0,0,0,0,0,0,0,0,0,0
3856,VISHAL (DADA) PRAKASHBAPU PATIL,IND,SANGLI,25868157,2.5868,2,21230907,3030.0,2,4637250,57250.0,0,0,0,0,0,0,0,0,0,0,0,0
5254,SURESH KUMAR SHETKAR,INC,ZAHIRABAD,25792000,2.5792,2,25792000,3540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7194,KIRTIVARDHAN SINGH,BJP,GONDA,24820000,2.482,4,24820000,3400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,GAJENDRA SINGH SHEKHAWAT,BJP,JODHPUR,24700000,2.47,6,22600000,3521.354,3,2100000,30000.0,0,0,0,0,0,0,0,0,0,0,0,0
436,RAO RAJENDRA SINGH,BJP,JAIPUR RURAL,24625000,2.4625,2,22750000,3500.0,1,1875000,25000.0,0,0,0,0,0,0,0,0,0,0,0,0
5106,DR CHANDRA SEKHAR PEMMASANI,TDP,GUNTUR,24061250,2.4061,4,23640500,3434.133,1,420750,5500.0,0,0,0,0,0,0,0,0,0,0,0,0
5118,PRABHAKAR REDDY VEMIREDDY,TDP,NELLORE,23144576,2.3145,2,15553326,2288.6,1,590000,6113.99,1,341250,0,0,0,0,0,0,0,1,6660000,0
4005,B.Y.RAGHAVENDRA,BJP,SHIMOGA,21256775,2.1257,0,0,0,0,0,0,0,0,0,0,0,0,2,21256775,15095.92,0,0,0
5120,MAGUNTA SREENIVASULU REDDY,TDP,ONGOLE,20733796,2.0734,1,20733796,2842.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5183,PATHAN YUSUF,AITC,BAHARAMPUR,20697868,2.0698,0,0,0,0,0,0,0,0,0,0,0,0,2,20697868,0,0,0,0
940,VIJAYAKUMAR ALIAS VIJAY VASANTH,INC,KANNIYAKUMARI,19410552,1.9411,2,19410552,2661.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4427,AMIT SHAH,BJP,GANDHINAGAR,18363800,1.8364,1,876160,160.0,0,0,0,0,0,0,0,0,0,2,17487640,27390.0,0,0,0
2239,TARIQ ANWAR,INC,KATIHAR,18242901,1.8243,2,18242901,2724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5122,DAGGUBATI PURANDHESHWARI,BJP,RAJAHMUNDRY,17299300,1.7299,2,12174800,2213.6,0,0,0,2,5032000,0,1,92500,10.0,0,0,0,0,0,0
257,TAPIR GAO,BJP,ARUNACHAL EAST,16200000,1.62,3,16200000,2368.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,JITIN PRASADA,BJP,PILIBHIT,15526500,1.5527,3,15221500,2087.138,0,0,0,0,0,0,0,0,0,0,0,0,5,305000,0
100,SUMATHY T,DMK,CHENNAI SOUTH,15291000,1.5291,3,14503500,2637.0,2,787500,11250.0,0,0,0,0,0,0,0,0,0,0,0,0
6620,KINJARAPU RAMMOHAN NAIDU,TDP,SRIKAKULAM,15177000,1.5177,4,15177000,2335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,15136345,1.5136,1,12717782,2071.0,1,520704,5395.896,0,0,0,0,0,0,2,1897859,0,0,0,0
5064,SUDHEER GUPTA,BJP,MANDSOUR,14871352,1.4871,4,9958000,1532.0,1,7200,10.0,0,0,0,0,0,0,3,4906152,5811.0,0,0,0
8770,NISHIKANT DUBEY,BJP,GODDA,14828750,1.4829,2,14089650,2050.0,1,739100,9500.0,0,0,0,0,0,0,0,0,0,0,0,0
9673,PRIYANKA GANDHI VADRA,INC,WAYANAD : BYE ELECTION ON 13-11-2024,14534646,1.4535,1,11579065,6921.4,1,2955581,59830.0,0,0,0,0,0,0,0,0,0,0,0,0
