constituency,name,party
Alappuzha,K. C VENUGOPAL,Indian National Congress
Ambedkar Nagar,LALJI VERMA,Samajwadi Party
Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam
Arrah,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation)
BHOPAL,ALOK SHARMA,Bharatiya Janata Party
Badaun,ADITYA YADAV,Samajwadi Party
Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party
Banaskantha,GENIBEN NAGAJI THAKOR,Indian National Congress
Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party
Bareilly,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party
Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar
Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,Indian National Congress
Bolangir,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party
Chandigarh,MANISH TEWARI,Indian National Congress
Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party
Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress
Darjeeling,RAJU BISTA,Bharatiya Janata Party
Dharwad,PRALHAD JOSHI,Bharatiya Janata Party
Diphu,AMARSING TISSO,Bharatiya Janata Party
Etah,DEVESH SHAKYA,Samajwadi Party
Firozabad,AKSHAYA YADAV,Samajwadi Party
GUNA,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party
Ghaziabad,ATUL GARG,Bharatiya Janata Party
HISAR,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress
Hardoi,JAI PRAKASH,Bharatiya Janata Party
JABALPUR,ASHISH DUBEY,Bharatiya Janata Party
JANJGIR-CHAMPA,KAMLESH JANGDE,Bharatiya Janata Party
Jalgaon,SMITA UDAY WAGH,Bharatiya Janata Party
Jorhat,GAURAV GOGOI,Indian National Congress
KRISHNAGIRI,GOPINATH K,Indian National Congress
Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena
Kanthi,ADHIKARI SOUMENDU,Bharatiya Janata Party
Kaushambi,PUSHPENDRA SAROJ,Samajwadi Party
Kolkata Dakshin,MALA ROY,All India Trinamool Congress
Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress
MADURAI,VENKATESAN S,Communist Party of India (Marxist)
MIZORAM,RICHARD VANLALHMANGAIHA,Zoram People’s Movement
Maldaha Dakshin,ISHA KHAN CHOUDHURY,Indian National Congress
Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena
Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey)
NAGAPATTINAM,SELVARAJ V,Communist Party of India
New Delhi,BANSURI SWARAJ,Bharatiya Janata Party
Palakkad,V K SREEKANDAN,Indian National Congress
Pathanamthitta,ANTO ANTONY,Indian National Congress
Porbandar,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party
Raichur,G. KUMAR NAIK.,Indian National Congress
Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party
SURGUJA,CHINTAMANI MAHARAJ,Bharatiya Janata Party
Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party
Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party
Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey)
Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal (United)
Srerampur,KALYAN BANERJEE,All India Trinamool Congress
THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam
Tripura East,KRITI DEVI DEBBARMAN,Bharatiya Janata Party
Uluberia,SAJDA AHMED,All India Trinamool Congress
VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam
