candidate_id,name,constituency,party,n_equity,n_fund,equity_value,fund_value,total_current_value,base_value,return_pct
5226,KONDA VISHWESHWAR REDDY,CHEVELLA,BJP,14,1,37075896774,1347251,37077244025,26356743776,40.7
9427,BAIJAYANT PANDA,KENDRAPARA,BJP,6,9,869504036,69835134,939339170,495087808,89.7
8542,NAVEEN JINDAL,KURUKSHETRA,BJP,10,0,455752196,0,455752196,431438000,5.6
4427,AMIT SHAH,GANDHINAGAR,BJP,150,0,343902212,0,343902212,326303596,5.4
7176,ANURAG SHARMA,JHANSI,BJP,5,15,2280872,194932520,197213392,176499980,11.7
3847,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR,INC,15,0,187273850,0,187273850,182870213,2.4
4316,SUPRIYA SULE,BARAMATI,Nationalist Congress Party – Sharadchandra Pawar,32,9,100777304,25450528,126227833,119728279,5.4
5716,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,INC,16,2,89763066,10297173,100060239,89520887,11.8
7093,PIYUSH GOYAL,MUMBAI NORTH,BJP,21,1,85197973,3262780,88460753,86890808,1.8
9505,RAVI SHANKAR PRASAD,PATNA SAHIB,BJP,0,14,0,84214953,84214953,73027407,15.3
7651,RAHUL GANDHI,RAE BARELI,INC,22,3,41958923,34822238,76781161,72627869,5.7
7209,RACHNA BANERJEE,HOOGHLY,AITC,32,48,11920076,51866483,63786559,58706968,8.7
5248,VAMSI KRISHNA GADDAM,PEDDAPALLE (SC),INC,3,0,53860228,0,53860228,73294392,-26.5
3595,PARSHOTTAMBHAI RUPALA,RAJKOT,BJP,2,2,6593978,34741504,41335482,35272259,17.2
899,JITIN PRASADA,PILIBHIT,BJP,1,6,562773,39521866,40084639,35825101,11.9
2629,TEJASVI SURYA,BANGALORE SOUTH,BJP,7,19,18104625,20871042,38975667,34693083,12.3
9465,SHASHANK MANI,DEORIA,BJP,1,15,544523,32543465,33087988,27447184,20.6
5179,SHATRUGHAN PRASAD SINHA,ASANSOL,AITC,20,0,30625849,0,30625849,32085174,-4.5
9673,PRIYANKA GANDHI VADRA,WAYANAD : BYE ELECTION ON 13-11-2024,INC,14,3,4420062,24863269,29283330,29410561,-0.4
5183,PATHAN YUSUF,BAHARAMPUR,AITC,3,2,13983174,7696913,21680087,16743568,29.5
3084,ADV ADOOR PRAKASH,ATTINGAL,INC,11,0,21637178,0,21637178,15870019,36.3
8770,NISHIKANT DUBEY,GODDA,BJP,2,6,10269121,11144407,21413528,24945045,-14.2
5104,DAGGUMALLA PRASADA RAO,CHITTOOR (SC),TDP,9,2,18930684,164526,19095210,17067131,11.9
