mp_name,raw_name,declared_value,match_symbol,match_name,score
NAVEEN JINDAL,Jindal Steel & Power Ltd,6909190000,JINDALSTEL,JINDAL STEEL LIMITED,1.0
NAVEEN JINDAL,Jindal Steel & Power Ltd,1909085000,JINDALSTEL,JINDAL STEEL LIMITED,1.0
KONDA VISHWESHWAR REDDY,Health Care India Ltd. 517100 @ 10/- per share Book Value Rs. 774.25/- per Share,400365229,AGARWALEYE,Dr. Agarwal's Health Care Limited,0.6666666666666666
NAVEEN JINDAL,Debentures- Nalwa Steel & Power Ltd,250000000,MSPL,MSP Steel & Power Limited,0.6666666666666666
SHASHI THAROOR,"Investments outside India , Investment in Equities",93344370,TIINDIA,Tube Investments of India Limited,0.6666666666666666
NISHIKANT DUBEY,Suzlon Energy Ltd 1125000 . Purchase Valiue 14121000,45450000,SUZLON,Suzlon Energy Limited,1.0
RAMASAHAYAM RAGHURAM REDDY,Aurobindo Pharma,43600000,AUROPHARMA,Aurobindo Pharma Limited,1.0
DR. MAHESH SHARMA,Share Kailash Health Care L,42306500,AGARWALEYE,Dr. Agarwal's Health Care Limited,0.6666666666666666
ANURAG SHARMA,Nippon India Arbitraj Fund Share No 164xxxxx.125,40073023,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ANURAG SINGH THAKUR,"Mutual Fund of HDFC Bank, Janpath, New Delhi C.ID- 71470205",24036678,HDFCBANK,HDFC Bank Limited,1.0
EATALA RAJENDER,Investment in North East projects and infra,23177099,RPPINFRA,R.P.P. Infra Projects Limited,1.0
NAVEEN JINDAL,Jindal Steel & Power Ltd,23071000,JINDALSTEL,JINDAL STEEL LIMITED,1.0
ANURAG SHARMA,Frankline India Prime Fund Share No 1xxxxx.351,21718905,SHAREINDIA,Share India Securities Limited,0.6666666666666666
RAMASAHAYAM RAGHURAM REDDY,Mutual Fund Company - ICICI Pru Blue Chip Equilty Fund,20877290,BLUECHIP,Blue Chip India Limited,0.6666666666666666
PATHAN YUSUF,"Equity Share Holding: [As On. 31.03.20231 1)Hdfc Bank Ltd Units 10,630 Cost Price 1,51,87,837",18861793,HDFCBANK,HDFC Bank Limited,1.0
MAGUNTA SREENIVASULU REDDY,Global Alcodev Marketing Enterprises Current,16199870,HCG,Healthcare Global Enterprises Limited,0.6666666666666666
NAVEEN JINDAL,3.7% HDFC Bank Ltd Perpetual Bonds,15429000,HDFCBANK,HDFC Bank Limited,1.0
NAVEEN JINDAL,3.7% HDFC Bank Ltd Perpetual Bonds,15429000,HDFCBANK,HDFC Bank Limited,1.0
PIYUSH GOYAL,13.75% The South Indian Bank Ltd 150 Bonds,15000000,INDIANB,Indian Bank,1.0
PIYUSH GOYAL,13.75% The South Indian Bank Ltd 140 Bonds,14000000,INDIANB,Indian Bank,1.0
BAIJAYANT PANDA,360 one Special Opportunities Fund-Series 9,12948859,360ONE,360 ONE WAM LIMITED,0.6666666666666666
PATHAN YUSUF,"Equity Share Holding Ii)Central Depository Services India Ltd Units 8,469 Cost Price 41,62,268",12233595,CDSL,Central Depository Services (India) Limited,1.0
BAIJAYANT PANDA,360 one Multi Strategy Fund-Series 2,11763054,360ONE,360 ONE WAM LIMITED,0.6666666666666666
PATHAN YUSUF,"Equity Share Holding Kotak Bank Ltd Mahindra Units 5,874 Cost Price",10488027,KOTAKBANK,Kotak Mahindra Bank Limited,1.0
ANURAG SHARMA,Nippon India Short term Fund Share No 21xxxxx.59,10098521,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
