candidate_id,mp_name,constituency,party,owner,raw_name_as_scraped,parsed_qty,parsed_declared_value
5395,GODAM NAGESH,ADILABAD (ST)  (TELANGANA),,self,No of Bonds(Mutual Fund @ 1000),,100000
5395,GODAM NAGESH,ADILABAD (ST)  (TELANGANA),,spouse,Ayyappa Earth Movers Adilabad,,500000
5395,GODAM NAGESH,ADILABAD (ST)  (TELANGANA),,spouse,Sai Srinivasa Filling Station Echoda(50%) HP Srinivasa Filling Station Adegaon(V),,250000
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Central Bank 1000 Shares,,59780
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,GVK Power 10000 Shares,,97900
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,HDFC Bank 1500 Shares,,137850
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,India Bulls Real 2000 Shares,,231900
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Infibim Avenue 1075 Shares,,36679
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Jaiprakash Power 24875 Shares,,380090
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Nila Infrastructure 7500 Shares,,78225
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Ratan India Center 1000 Shares,,69150
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Reliance Communication 1000 Shares,,1820
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Reliance Infrastructure 200 Shares,,54100
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Reliance Power 15433 Shares,,435674
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Skill Infra 1000 Shares,,6850
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Sujlon Energy 3500 Shares,,141635
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Vakrangi 3000 Shares,,59550
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Yes No 3xxxxx Shares,,776550
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Zomato Limited 500 Shares,,91175
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Nainita Cotspin Private Limited 25000 Shares,,250000
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Nidhi Co-operative Bank Ltd 100 Shares,,1000
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Nutan Nagrik Sahakari Bank Ltd 10 Shares,,100
3452,HASMUKHBHAI PATEL (H.S.PATEL),AHMEDABAD EAST  (GUJARAT),,self,Rajkot Nagrik Sahakari Bank Ltd 35 Shares,,350
