candidate_id,mp_name,party,kind,symbol_or_code,security_name,owner,declared_value,current_value,return_pct
5226,KONDA VISHWESHWAR REDDY,BJP,equity,APOLLOHOSP,Apollo Hospitals Enterprise Limited,spouse,15008574360,21362165362,42.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,APOLLOHOSP,Apollo Hospitals Enterprise Limited,self,9732249500,13852209955,42.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,APOLLOHOSP,Apollo Hospitals Enterprise Limited,dep1,1037942080,1477334877,42.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,APOLSINHOT,Apollo Sindoori Hotels Limited,spouse,556067376,371040833,-33.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,PRAENG,Prajay Engineers Syndicate Limited,self,9462712,7097034,-25.0
5226,KONDA VISHWESHWAR REDDY,BJP,fund,151725,HDFC NIFTY Midcap 150 Index Fund - Growth Option,spouse,1200000,1347251,12.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,GVKPIL,GVK Power & Infrastructure Limited,spouse,4147000,1211310,-70.8
5226,KONDA VISHWESHWAR REDDY,BJP,equity,ANDHRSUGAR,The Andhra Sugars Limited,self,1061550,949711,-10.5
5226,KONDA VISHWESHWAR REDDY,BJP,equity,GVKPIL,GVK Power & Infrastructure Limited,self,3203332,935671,-70.8
5226,KONDA VISHWESHWAR REDDY,BJP,equity,PTC,PTC India Limited,self,936540,916570,-2.1
5226,KONDA VISHWESHWAR REDDY,BJP,equity,NMDC,NMDC Limited,self,571120,633390,10.9
5226,KONDA VISHWESHWAR REDDY,BJP,equity,OIL,Oil India Limited,self,376200,455709,21.1
5226,KONDA VISHWESHWAR REDDY,BJP,equity,POWERGRID,Power Grid Corporation of India Limited,self,289332,291380,0.7
5226,KONDA VISHWESHWAR REDDY,BJP,equity,TECHM,Tech Mahindra Limited,spouse,224472,256653,14.3
5226,KONDA VISHWESHWAR REDDY,BJP,equity,COALINDIA,Coal India Limited,self,187050,199113,6.4
5226,KONDA VISHWESHWAR REDDY,BJP,equity,NSLNISP,NMDC Steel Limited,self,157185,114526,-27.1
5226,KONDA VISHWESHWAR REDDY,BJP,equity,PFC,Power Finance Corporation Limited,self,92967,83673,-10.0
5226,KONDA VISHWESHWAR REDDY,BJP,equity,MEDANTA,Global Health Limited,spouse,1000,1008,0.8
