symbol,name,n_mps,agg_current_value,stock_return_pct
RELIANCE,Reliance Industries Limited,18,28108058,-5.8
HDFCBANK,HDFC Bank Limited,15,33349040,1.9
ITC,ITC Limited,14,21666793,-20.7
RPOWER,Reliance Power Limited,12,672669,8.4
JIOFIN,Jio Financial Services Limited,12,2310353,-32.7
TATASTEEL,Tata Steel Limited,12,10583522,24.9
YESBANK,Yes Bank Limited,9,1716593,-3.8
INFY,Infosys Limited,9,14436856,-14.7
SBIN,State Bank of India,9,27793952,19.2
ICICIBANK,ICICI Bank Limited,9,11017751,14.5
RCOM,Reliance Communications Limited,8,34433,-44.2
TITAN,Titan Company Limited,7,14192988,21.3
COALINDIA,Coal India Limited,7,4415514,6.4
TECHM,Tech Mahindra Limited,7,17171131,14.3
TCS,Tata Consultancy Services Limited,7,3045864,-36.1
IDEA,Vodafone Idea Limited,6,114930,-4.2
NHPC,NHPC Limited,6,923177,-17.6
TATAPOWER,Tata Power Company Limited,6,2750682,-5.5
SUZLON,Suzlon Energy Limited,5,730622,21.5
LT,Larsen & Toubro Limited,5,53555927,10.9
BHARTIARTL,Bharti Airtel Limited,5,29063877,38.9
JSWSTEEL,JSW Steel Limited,5,39378084,43.6
TATACHEM,Tata Chemicals Limited,4,1457168,-29.6
RHFL,Reliance Home Finance Limited,4,657,-34.3
ADANIPOWER,Adani Power Limited,4,2903135,61.9
BAJFINANCE,Bajaj Finance Limited,4,14791392,35.0
NTPC,NTPC Limited,4,1168787,11.7
WIPRO,Wipro Limited,4,324863,-4.0
CANBK,Canara Bank,4,38270233,17.8
NMDC,NMDC Limited,4,1026755,10.9
IOB,Indian Overseas Bank,4,82673,-52.6
BHARATFORG,Bharat Forge Limited,4,39381955,23.4
CENTRALBK,Central Bank of India,3,77071,-49.6
SOUTHBANK,The South Indian Bank Limited,3,1260466,52.1
KOTAKBANK,Kotak Mahindra Bank Limited,3,835498,12.7
UNITDSPR,United Spirits Limited,3,59359311,11.7
UNIONBANK,Union Bank of India,3,394283,8.4
EICHERMOT,Eicher Motors Limited,3,15925612,49.5
HINDUNILVR,Hindustan Unilever Limited,3,13102676,-3.9
